%time,field.header.seq,field.header.stamp,field.header.frame_id,field.status.status,field.status.service,field.latitude,field.longitude,field.altitude,field.position_covariance0,field.position_covariance1,field.position_covariance2,field.position_covariance3,field.position_covariance4,field.position_covariance5,field.position_covariance6,field.position_covariance7,field.position_covariance8,field.position_covariance_type
1480963626106586691,47,1480963626077694892,/gps,0,1,42.2937133333,-71.2635476667,66.7,1.3225,0.0,0.0,0.0,1.3225,0.0,0.0,0.0,5.29,1
1480963627106755249,48,1480963627076443910,/gps,0,1,42.293709,-71.263542,66.0,1.3225,0.0,0.0,0.0,1.3225,0.0,0.0,0.0,5.29,1
1480963628107070199,49,1480963628076004028,/gps,0,1,42.2936956667,-71.2635448333,65.9,1.3225,0.0,0.0,0.0,1.3225,0.0,0.0,0.0,5.29,1
1480963629107186701,50,1480963629077812910,/gps,0,1,42.2936951667,-71.2635433333,64.7,1.3225,0.0,0.0,0.0,1.3225,0.0,0.0,0.0,5.29,1
1480963630107564241,51,1480963630079653024,/gps,0,1,42.293692,-71.2635456667,64.5,1.3225,0.0,0.0,0.0,1.3225,0.0,0.0,0.0,5.29,1
1480963631107823170,52,1480963631074635028,/gps,0,1,42.293688,-71.2635438333,63.9,1.3225,0.0,0.0,0.0,1.3225,0.0,0.0,0.0,5.29,1
1480963632108100795,53,1480963632077563047,/gps,0,1,42.2936833333,-71.263542,62.9,1.3225,0.0,0.0,0.0,1.3225,0.0,0.0,0.0,5.29,1
1480963633108314038,54,1480963633077310085,/gps,0,1,42.2936798333,-71.2635431667,61.9,1.3225,0.0,0.0,0.0,1.3225,0.0,0.0,0.0,5.29,1
1480963634108750079,55,1480963634075783014,/gps,0,1,42.2936736667,-71.2635451667,60.3,1.3225,0.0,0.0,0.0,1.3225,0.0,0.0,0.0,5.29,1
1480963635074896688,56,1480963635072938919,/gps,0,1,42.2936691667,-71.2635533333,58.0,1.5876,0.0,0.0,0.0,1.5876,0.0,0.0,0.0,6.3504,1
1480963636075264722,57,1480963636068470954,/gps,0,1,42.2936651667,-71.2635508333,55.3,5.4756,0.0,0.0,0.0,5.4756,0.0,0.0,0.0,21.9024,1
1480963637076673312,58,1480963637074444055,/gps,0,1,42.2936565,-71.263549,54.3,5.4756,0.0,0.0,0.0,5.4756,0.0,0.0,0.0,21.9024,1
1480963638076992778,59,1480963638071682929,/gps,0,1,42.2936495,-71.263551,52.2,5.4756,0.0,0.0,0.0,5.4756,0.0,0.0,0.0,21.9024,1
1480963639077539465,60,1480963639072134971,/gps,0,1,42.2936408333,-71.2635473333,51.4,5.4756,0.0,0.0,0.0,5.4756,0.0,0.0,0.0,21.9024,1
1480963640077835232,61,1480963640073224067,/gps,0,1,42.2936348333,-71.2635531667,51.1,2.3409,0.0,0.0,0.0,2.3409,0.0,0.0,0.0,9.3636,1
1480963641078430205,62,1480963641073314905,/gps,0,1,42.293622,-71.2635551667,51.0,2.3409,0.0,0.0,0.0,2.3409,0.0,0.0,0.0,9.3636,1
1480963642078747381,63,1480963642074872016,/gps,0,1,42.2936081667,-71.2635601667,51.2,5.4756,0.0,0.0,0.0,5.4756,0.0,0.0,0.0,21.9024,1
1480963643079255365,64,1480963643074414014,/gps,0,1,42.293599,-71.2635613333,51.8,5.4756,0.0,0.0,0.0,5.4756,0.0,0.0,0.0,21.9024,1
1480963644079793920,65,1480963644072377920,/gps,0,1,42.2935946667,-71.263567,50.4,5.4756,0.0,0.0,0.0,5.4756,0.0,0.0,0.0,21.9024,1
1480963645080444602,66,1480963645071721076,/gps,0,1,42.293585,-71.263566,51.1,5.4756,0.0,0.0,0.0,5.4756,0.0,0.0,0.0,21.9024,1
1480963646080829145,67,1480963646071616888,/gps,0,1,42.2935801667,-71.2635706667,51.3,5.4756,0.0,0.0,0.0,5.4756,0.0,0.0,0.0,21.9024,1
1480963647081152722,68,1480963647070934057,/gps,0,1,42.2935786667,-71.2635793333,50.8,5.4756,0.0,0.0,0.0,5.4756,0.0,0.0,0.0,21.9024,1
1480963648081990391,69,1480963648071362972,/gps,0,1,42.2935708333,-71.263595,51.3,5.4756,0.0,0.0,0.0,5.4756,0.0,0.0,0.0,21.9024,1
1480963649082818760,70,1480963649072556972,/gps,0,1,42.2935668333,-71.2636045,52.5,5.4756,0.0,0.0,0.0,5.4756,0.0,0.0,0.0,21.9024,1
1480963650083245954,71,1480963650071990966,/gps,0,1,42.2935641667,-71.2636068333,53.3,5.4756,0.0,0.0,0.0,5.4756,0.0,0.0,0.0,21.9024,1
1480963651083950393,72,1480963651070729017,/gps,0,1,42.2935605,-71.263616,54.7,5.4756,0.0,0.0,0.0,5.4756,0.0,0.0,0.0,21.9024,1
1480963652084419725,73,1480963652071954965,/gps,0,1,42.293557,-71.2636333333,56.7,5.4756,0.0,0.0,0.0,5.4756,0.0,0.0,0.0,21.9024,1
1480963653084857852,74,1480963653071949958,/gps,0,1,42.293554,-71.2636396667,57.7,5.4756,0.0,0.0,0.0,5.4756,0.0,0.0,0.0,21.9024,1
1480963654085488360,75,1480963654066457033,/gps,0,1,42.293551,-71.2636491667,59.0,5.4756,0.0,0.0,0.0,5.4756,0.0,0.0,0.0,21.9024,1
1480963655085815234,76,1480963655070059061,/gps,0,1,42.2935485,-71.2636621667,60.5,5.4756,0.0,0.0,0.0,5.4756,0.0,0.0,0.0,21.9024,1
1480963656086402578,77,1480963656069880962,/gps,0,1,42.2935468333,-71.263669,61.5,5.4756,0.0,0.0,0.0,5.4756,0.0,0.0,0.0,21.9024,1
1480963657086800369,78,1480963657069941043,/gps,0,1,42.2935453333,-71.2636765,62.2,5.4756,0.0,0.0,0.0,5.4756,0.0,0.0,0.0,21.9024,1
1480963658087014002,79,1480963658071639060,/gps,0,1,42.293541,-71.2636871667,63.2,5.4756,0.0,0.0,0.0,5.4756,0.0,0.0,0.0,21.9024,1
1480963659087442418,80,1480963659079286098,/gps,0,1,42.2935326667,-71.2637056667,64.6,5.4756,0.0,0.0,0.0,5.4756,0.0,0.0,0.0,21.9024,1
1480963660087888403,81,1480963660074883937,/gps,0,1,42.2935238333,-71.2637083333,64.3,5.4756,0.0,0.0,0.0,5.4756,0.0,0.0,0.0,21.9024,1
1480963661088428832,82,1480963661075706005,/gps,0,1,42.293514,-71.2637198333,66.3,5.4756,0.0,0.0,0.0,5.4756,0.0,0.0,0.0,21.9024,1
1480963662088767155,83,1480963662075198888,/gps,0,1,42.2935081667,-71.2637178333,66.1,2.3409,0.0,0.0,0.0,2.3409,0.0,0.0,0.0,9.3636,1
1480963663089554186,84,1480963663073399066,/gps,0,1,42.2935041667,-71.2637195,65.4,2.3409,0.0,0.0,0.0,2.3409,0.0,0.0,0.0,9.3636,1
1480963664090078637,85,1480963664073102951,/gps,0,1,42.2935023333,-71.2637156667,64.3,2.3409,0.0,0.0,0.0,2.3409,0.0,0.0,0.0,9.3636,1
